Obersparte	Untersparte	Sparten-Nr.
	Geschichte der Psychologie	929
	Gesprächstherapie	924
	Kinder- und Jugendtherapie	1952
	Kindesmisshandlung	928
	Klinische Psychologie	915
	Körpertherapie	925
	Kritische Ereignisse/Phasen	922
	Kunsttherapie	2642
	Lernen und Gedächtnis	911
	Musiktherapie	2643
	Neuropsychologie	1999
	Partnerschaft/Sexualität	926
	Psychoanalyse	392
	Psychosomatik	2565
	Psychotherapie	726
	Ratgeber - Partnerschaft	792
	Ratgeber - Psyche/Lebenshilfe	765
	Sozialpsychologie	914
	Sucht/Suchtprävention	920
	Tiefenpsychologie	3012
	Verhaltenstherapie	923
	Wahrnehmung und Denken	912
	Wirtschaftspsychologie	3034
	Psychologie-Zeitschriften	1248
	Pädagogik allgemein	677
	Behindertenpädagogik	678
	Berufs-/Wirtschaftspädagogik	1958
	Didaktik	2531
	Erwachsenenbildung	1806
	Erziehungswissenschaft	2526
	Geschichte der Pädagogik	2529
	Grundschulpädagogik	930
	Heilpädagogik	935
	Heimpädagogik	934
	Integrative Pädagogik	2532
	Kunstpädagogik	3025
	Medienpädagogik	1807
	Montessori	1948
	Museumspädagogik	932
	Musikpädagogik	2536
	Natur-/Umweltpädagogik	3009
	Reformpädagogik	2527
	Schulentwicklung	1976
	Schulpädagogik	931
	Sexualpädagogik	2971
	Sonderpädagogik	2528
	Sozialpädagogik/Sozialarbeit	933
	Spielpädagogik	1949
	Vorschulpädagogik	1861
	Waldorfpädagogik	936
	Physiologische Psychologie	919
	Pädagogik-Zeitschriften	3023
	Sonstiges - Psyche/Pädagogik	393
Soziologie		
	Bildungssoziologie	3019
	Empirische Sozialforschung	1200
	Geschichte der Soziologie	963
	Geschlechter/Gender Studies	965
	Informationsgesellschaft	1724
	Inklusion/Exklusion	3020
	Klassische Theorien	966
	Kriminalwissenschaften	2423
	Kulturen und Alltag	967
	Organisationssoziologie	3018
	Sozialer Wandel	964
	Sozialisation/Erziehung	3017
	Sonstiges - Soziologie	603
Sprach-/Literaturwissenschaft		
	Afrikanistik	20
	Ägyptologie	46
	Albanologie	26
	Altsprachliche Texte	3011
	Anglistik	32
	Amerikanistik	28
	Arabistik	34
	Baltistik	1817
	Bibliographie	1369
	Bohemistik	2777
	Buch- und Bibliothekswesen	804
	Bulgaristik	80
	Dialekte	2415
	Dänisch	92
	Finno-Ugristik	131
	Französisch	137
	Germanistik	153
	Griechisch	177
	Indoeuropäisch	1943
	Italienisch	230
	Indologie	203
	Japanologie	231
	Jiddistik	2770
	Journalistik	233
	Judaistik / JüdischeStudien	234
	Kaschubologie/Pomoranistik	1437
	Klassische Philologie	2702
	Kommunikationswissenschaft	248
	Latein	284
	Linguistik	1852
	Literaturgeschichte	2410
	Literaturwissenschaft	291
	Mediävistik	745
	Niederländisch	576
	Orientalistik	361
	Polonistik	2778
	Publizistik / Zeitungswissenschaften	394
	Romanistik	409
	Russisch	411
	Semitistik	1942
	Serbokroatistik	2779
	Sinologie	427
	Skandinavistik / Nordistik	428
	Slawistik	429
	Slowakistik	2780
	Slowenistik	2781
	Spanisch	442
	Sprachkurse	2422
	Sprachphilosophie	2856
	Turkologie	489
	Ukrainistik	491
	Vergleichende Sprachwissenschaft	2703
	Interpretationen	2574
	Literatur-Zeitschriften	954
	Sonstiges - Sprachwissenschaften	11
Wirtschaft/Marketing		
	Außenhandel (Import/Export)	2925
	Betriebliche Bildung	59
	Betriebswirtschaftslehre	61
	Börse	664
	Controlling	1919
	Corporate Finance	2015
	Entwicklungshilfe	2199
	Europäische Wirtschaft	115
	Existenzgründung	2900
	Finanzpolitik/Finanzwirtschaft	3066
	Firmengeschichte	823
	Immobilienwirtschaft	2760
	Institutionenökonomik	2572
	Logistik / Supply Chain	2196
	Marketing/Werbung	302
	Makroökonomie	570
	Mikroökonomie	571
	Management	319
	Operations Research	2016
	Personal	2930
	Produktion	1920
	Ratgeber - Finanzen	764
	Ratgeber - Unternehmen	760
	Rechnungswesen	831
	Risikomanagement	2011
	Steuern	731
	Versicherungen	500
	Volkswirtschaftslehre	517
	Wirtschaftsgeschichte	534
	Wirtschaftsinformatik	535
	Wirtschaftskommunikation	537
	Wirtschaftsmathematik	538
	Wirtschaftspsychologie	3034
	Wirtschafts-Zeitschriften	768
	Wirtschaftsrecht	540
	Sonstiges - Wirtschaft/Marketing	542
Englischsprachige Bücher		
	Romane (englisch)	968
	Computer (englisch)	978
	Fantasy (englisch)	971
	Geschichte/Politik (englisch)	969
	Englische Jugendbücher	2010
	Englische Kinderbücher	976
	Horror (englisch)	1911
	Humor/Satire (englisch)	974
	Krimi/Thriller (englisch)	972
	Länder/Reisen (englisch)	1820
	Liebesromane (englisch)	2523
	Lyrik (englisch)	2537
	Religiöse Bücher (englisch)	2902
	Sachbücher (englisch)	973
	Science Fiction (englisch)	970
	Theater/Drama (englisch)	1301
	Wirtschaft/Werbung (englisch)	977
	über Musik/Film (englisch)	975
	Sonstiges - Englisch	707
Fremdsprachige Bücher		
	Arabisch	1349
	Chinesisch	1407
	Dänisch	1954
	Esperanto	2690
	Estnisch	2784
	Finnisch	1387
	Kinder-/Jugendbücher (französisch)	2625
	Krimi/Thriller (französisch)	2623
	Liebesromane (französisch)	2624
	Romane (französisch)	2627
	Sachbücher (französisch)	2622
	Science Fiction/Fantasy (französisch)	2626
	Sonstiges - französisch	711
	Griechisch	1892
	Italienisch	709
	Japanisch	1406
	Lettisch	2783
	Litauisch	2782
	Niederländisch	714
	Norwegisch	1955
	Polnisch	713
	Portugiesisch	1966
	Rumänisch	1370
	Russisch	712
	Schwedisch	1956
	Skandinavische Sprachen	715
	Slowenisch	2907
	Kinder-/Jugendbücher (spanisch)	2628
	Krimi/Thriller (spanisch)	2629
	Liebesromane (spanisch)	2630
	Romane (spanisch)	2631
	Sachbücher (spanisch)	2632
	Science Fiction/Fantasy (spanisch)	2633
	Sonstiges - spanisch	710
	Tschechisch	1973
	Türkisch	708
	Ungarisch	1390
	Sonstiges	716
Ratgeber		
	Alternative Medizin	2592
	Ratgeber - Alter	1934
	Ratgeber - Altersvorsorge/Rente	2704
	Ratgeber - Baby/Kleinkind	1321
	Ratgeber - Bauen/Immobilien	1810
	Ratgeber - Benehmen	1367
